sample,file,oldfile_version,newfile_version,patch_size
handsfree,uuid.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,147
handsfree,version.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,88
handsfree,work.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1074
handsfree,x86_mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,884
hello_world,atoi.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,195
hello_world,banner.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,86
hello_world,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
hello_world,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
hello_world,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
hello_world,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2567
hello_world,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1715
hello_world,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
hello_world,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
hello_world,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
hello_world,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
hello_world,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
hello_world,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
hello_world,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
hello_world,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
hello_world,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
hello_world,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
hello_world,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,970
hello_world,intc_ioapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,503
hello_world,intc_loapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,425
hello_world,kheap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,192
hello_world,mailbox.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,217
hello_world,mem_slab.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,701
hello_world,mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,860
hello_world,msg_q.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,116
hello_world,multiboot.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,137
hello_world,mutex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,346
hello_world,offsets.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,325
hello_world,onoff.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,204
hello_world,prep_c.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,338
hello_world,printk.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
hello_world,qsort.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,750
hello_world,queue.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,255
hello_world,rb.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,505
hello_world,sched.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2339
hello_world,sprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,237
hello_world,stack.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,144
hello_world,strncasecmp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,85
hello_world,strtol.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,375
hello_world,strtoul.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,366
hello_world,sys_clock_init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,202
hello_world,thread.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1212
hello_world,timeout.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,642
hello_world,timer.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,555
hello_world,timeutil.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1452
hello_world,uart_console.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,376
hello_world,uart_ns16550.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1016
hello_world,version.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,88
hello_world,work.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1078
hello_world,x86_mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,884
synchronization,atoi.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,195
synchronization,banner.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,86
synchronization,bitarray.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
synchronization,cbprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,149
synchronization,cbprintf_complete.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,744
synchronization,cbprintf_packaged.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2567
synchronization,configs.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1748
synchronization,crc16_sw.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,340
synchronization,crt0.S.obj,zephyr_v2.7.2,zephyr_v3.2.0,291
synchronization,device.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,962
synchronization,dev_handles.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,193
synchronization,fprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,215
synchronization,gmtime.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,324
synchronization,heap-validate.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,824
synchronization,heap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1336
synchronization,hex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,139
synchronization,hpet.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,650
synchronization,init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1043
synchronization,intc_ioapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,503
synchronization,intc_loapic.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,425
synchronization,kheap.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,192
synchronization,mailbox.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,217
synchronization,mem_slab.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,701
synchronization,mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,860
synchronization,msg_q.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,116
synchronization,multiboot.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,137
synchronization,mutex.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,346
synchronization,offsets.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,325
synchronization,onoff.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,204
synchronization,prep_c.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,338
synchronization,printk.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,243
synchronization,qsort.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,750
synchronization,queue.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,255
synchronization,rb.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,505
synchronization,sched.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,2339
synchronization,sprintf.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,237
synchronization,stack.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,144
synchronization,strncasecmp.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,85
synchronization,strtol.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,375
synchronization,strtoul.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,366
synchronization,sys_clock_init.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,202
synchronization,thread.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1255
synchronization,timeout.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,642
synchronization,timer.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,555
synchronization,timeutil.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1452
synchronization,uart_console.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,376
synchronization,uart_ns16550.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1016
synchronization,version.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,88
synchronization,work.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,1027
synchronization,x86_mmu.c.obj,zephyr_v2.7.2,zephyr_v3.2.0,884
